,Country,January_2020_recovery,February_2020_recovery,March_2020_recovery,April_2020_recovery,May_2020_recovery,June_2020_recovery,July_2020_recovery,August_2020_recovery,September_2020_recovery,October_2020_recovery,November_2020_recovery,December_2020_recovery,January_2021_recovery,January_2020_cases,February_2020_cases,March_2020_cases,April_2020_cases,May_2020_cases,June_2020_cases,July_2020_cases,August_2020_cases,September_2020_cases,October_2020_cases,November_2020_cases,December_2020_cases,January_2021_cases,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,ages_10-14_female,ages_10-14_male,ages_20-24_female,ages_20-24_male,ages_30-34_female,ages_30-34_male,ages_40-44_female,ages_40-44_male,ages_50-54_female,ages_50-54_male,ages_65_and_above_female,ages_65_and_above_male,Countries_Binned
15,Barbados,0,0,0,39,76,90,96,146,179,221,250,319,1158,0,0,34,81,92,97,110,174,190,237,276,383,1545,0,0,0,7,7,7,7,7,7,7,7,7,14,5.936251754,6.587279289,6.257422002,6.856706504,6.191298715,6.51379914,6.565097701,6.715509354,6.988151787,6.801956589,17.54898521,14.82209879,North America
16,Belarus,0,0,47,2386,18514,46054,62444,70468,74525,86663,114341,175147,235838,0,1,152,14027,42556,62118,67808,71843,78631,98482,136647,194284,248336,0,0,1,89,235,392,559,681,833,980,1158,1424,1718,4.589216894,5.551723409,4.42725734,5.364992444,7.79905615,9.363616962,6.581103676,7.252461583,6.585200661,6.574107261,19.14580437,10.67041553,Europe
17,Belgium,0,1,1696,11576,15887,16984,17546,18422,19454,25569,0,0,0,0,1,12775,48519,58381,61427,68751,85236,118452,429229,577345,646496,710153,0,0,705,7594,9467,9747,9841,9895,10016,11625,16645,19528,21092,5.532540576,5.966423058,5.556683283,5.96889177,6.373949076,6.52183086,6.334895202,6.694045448,6.759923519,7.149076448,21.1183993,16.85074917,Europe
18,Belize,0,0,0,9,16,18,30,173,1246,2160,3151,9795,11309,0,0,3,18,18,24,48,1007,1992,3487,5854,10776,11908,0,0,0,2,2,2,2,13,27,59,148,248,301,9.584842148,10.01436064,9.922986688,9.947447254,8.161370939,7.791291995,5.948385781,5.574914685,4.366807773,4.299957278,4.749324221,4.986076868,North America
19,Benin,0,0,1,33,143,333,1036,1738,1973,2418,2839,3061,3421,0,0,9,64,232,1199,1805,2145,2357,2643,3015,3251,3893,0,0,0,1,3,21,36,40,41,41,43,44,52,12.10705097,12.48434969,9.093681021,9.293756713,6.442534089,6.42645643,4.483565275,4.348580337,3.062592483,2.884291567,3.736259274,2.791985274,Africa
20,Bhutan,0,0,0,5,6,48,89,142,222,324,381,448,814,0,0,4,7,43,77,101,225,282,349,410,670,859,0,0,0,0,0,0,0,0,0,0,0,0,1,9.23220001,8.407236959,9.856672867,9.934523692,9.430489692,9.869343657,5.970474387,6.591577949,4.186984377,4.253491082,5.855131234,6.304440143,Asia
21,Bolivia,0,0,0,117,968,9340,23582,60408,95529,111503,121702,132097,159222,0,0,107,1110,9982,33219,76789,116598,135311,141757,144708,160124,216835,0,0,6,59,313,1123,2977,5027,7965,8725,8957,9165,10379,9.903529979,10.24653735,9.03667591,9.255155754,7.39893025,7.441175539,5.692552757,5.628233457,4.123369165,3.998383282,7.919904296,6.762029486,South America
22,Bosnia and Herzegovina,0,0,17,727,1862,2402,5959,13095,20616,28083,52769,77225,94604,0,0,420,1757,2510,4453,11876,19964,27469,50090,87901,110985,121497,0,0,13,69,153,186,339,609,856,1234,2681,4050,4679,5.171657269,5.650176676,6.278771095,6.969821233,6.562585538,7.155249354,6.463844237,6.914217537,7.220049412,7.243819423,19.35442308,14.95850752,Europe
23,Botswana,0,0,0,5,20,28,63,224,710,4676,7912,12136,17198,0,0,4,23,35,227,804,1633,3172,6642,10742,14805,21293,0,0,1,1,1,1,2,6,16,24,34,42,134,10.06382888,10.98072373,8.40695132,9.086486506,8.175022087,7.921437265,6.419454819,5.920029871,3.461285303,3.18692129,5.045112295,3.641541814,Africa
24,Brazil,0,0,127,35935,206555,788318,2008854,3268591,4274774,5005161,5597802,6848844,8176373,0,2,5717,87187,514849,1402041,2662485,3908272,4810935,5535605,6335878,7675973,9204731,0,0,201,6006,29314,59594,92475,121381,143952,159884,173120,194949,224504,6.918291926,7.449045223,7.915661768,8.398456193,8.050585279,8.312886641,7.250413704,7.252729985,6.143926296,5.888108489,10.35864346,8.106377941,South America
