,Country,2020-01-31_recovery,2020-02-29_recovery,2020-03-31_recovery,2020-04-30_recovery,2020-05-31_recovery,2020-06-30_recovery,2020-07-31_recovery,2020-08-31_recovery,2020-09-30_recovery,2020-10-31_recovery,2020-11-30_recovery,2020-12-31_recovery,2021-01-31_recovery,2020-01-31_cases,2020-02-29_cases,2020-03-31_cases,2020-04-30_cases,2020-05-31_cases,2020-06-30_cases,2020-07-31_cases,2020-08-31_cases,2020-09-30_cases,2020-10-31_cases,2020-11-30_cases,2020-12-31_cases,2021-01-31_cases,2020-01-31_deaths,2020-02-29_deaths,2020-03-31_deaths,2020-04-30_deaths,2020-05-31_deaths,2020-06-30_deaths,2020-07-31_deaths,2020-08-31_deaths,2020-09-30_deaths,2020-10-31_deaths,2020-11-30_deaths,2020-12-31_deaths,2021-01-31_deaths,Country_clean_deaths,Country_Binned_deaths
31,Cameroon,0,0,5,934,3568,10100,15320,17651,19440,20117,22177,24892,28045,0,0,193,1832,5904,12592,17255,19142,20838,21793,24445,26277,29617,0,0,6,61,191,313,391,411,418,426,437,448,462,Cameroon,Africa
32,Canada,0,6,1592,21424,49213,69120,102906,116020,137181,198952,304595,493638,710699,3,20,8527,54457,92479,106097,118281,130918,161107,237313,381557,584409,783695,0,0,152,4179,7906,8780,9025,9193,9391,10276,12239,15762,20041,Canada,North America
33,Cape Verde,0,0,0,4,193,629,1824,2916,5277,7981,10329,11559,13144,0,0,6,121,435,1227,2451,3884,6024,8793,10761,11840,14070,0,0,1,1,4,15,23,40,60,95,105,113,134,Cape Verde,Africa
34,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cayman Islands,North America
35,Central African Republic,0,0,0,10,23,787,1606,1790,1914,1924,1924,1924,4885,0,0,3,50,1011,3745,4608,4711,4829,4866,4913,4963,4981,0,0,0,0,2,47,59,62,62,62,63,63,63,Central African Republic,Africa
36,Chad,0,0,0,33,491,781,813,880,1007,1314,1525,1704,2464,0,0,7,73,778,866,936,1013,1200,1483,1688,2113,3376,0,0,0,5,65,74,75,77,85,98,101,104,118,Chad,Africa
37,Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Europe
38,Chile,0,0,156,8580,42727,241229,328327,383879,436589,486642,526604,577382,681981,0,0,2738,16023,99688,279393,355667,411726,462991,510256,551743,608973,727109,0,0,12,227,1054,5688,9457,11289,12741,14207,15410,16608,18452,Chile,South America
39,China,214,39279,76200,78523,79389,79632,80787,84594,85460,86135,87017,89923,92779,9783,79251,82279,83956,84146,84785,87655,89914,90545,91366,92902,95963,100063,213,2835,3309,4637,4638,4641,4661,4723,4739,4739,4743,4782,4817,China,Asia
40,Colombia,0,0,31,1439,7032,40021,154387,459460,743653,968927,1210489,1508419,1938322,0,0,906,6507,27219,95269,295508,615094,829679,1073809,1316806,1642775,2094884,0,0,16,293,916,3376,10105,19662,25998,31598,36766,43213,53983,Colombia,South America
41,Comoros,0,0,0,0,26,200,330,399,464,498,586,705,1731,0,0,0,1,106,303,378,423,479,545,611,823,2726,0,0,0,0,2,7,7,7,7,7,7,10,93,Comoros,Africa
42,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Congo,Africa
43,Congo (Brazzaville),0,0,0,19,179,456,829,1742,3887,3887,4988,5846,5846,0,0,19,220,611,1087,3200,3979,5089,5290,5774,7107,7887,0,0,0,9,20,37,54,78,89,92,94,108,117,Congo,Africa
44,Congo (Kinshasa),0,0,2,73,448,1426,6796,9133,10139,10585,11585,14701,15031,0,0,98,572,3070,7039,9070,10097,10659,11306,12772,17658,22771,0,0,8,31,72,170,215,258,272,307,333,591,671,Congo,Africa
45,Costa Rica,0,0,4,338,669,1436,4404,16056,37841,66719,87526,131923,151952,0,0,347,719,1056,3459,17820,41287,75760,109971,139638,169321,193276,0,0,2,6,10,16,150,436,904,1385,1726,2185,2604,Costa Rica,North America
46,Croatia,0,0,67,1348,2072,2155,4267,7434,15057,32818,105199,198018,224476,0,6,867,2076,2246,2777,5139,10269,16593,49316,128442,210837,232426,0,0,6,69,103,107,145,186,280,546,1786,3920,5027,Croatia,Europe
47,Cuba,0,0,8,681,1809,2214,2355,3378,4893,6245,7631,10125,20863,0,0,186,1501,2045,2341,2608,4032,5597,6887,8284,11863,26686,0,0,6,61,83,86,87,94,122,128,135,146,214,Cuba,North America
48,Cyprus,0,0,23,296,790,833,852,1139,1369,1882,2057,2057,2057,0,0,262,850,944,998,1114,1488,1755,4366,10565,22019,30876,0,0,8,15,17,19,19,20,22,26,49,119,199,Cyprus,Asia
49,Czech Republic,0,0,45,3314,6558,7771,11569,17807,33443,143359,451607,592581,871917,0,0,3308,7682,9268,11954,16574,24618,68919,335102,523298,718661,984774,0,0,31,236,320,349,382,424,655,3251,8295,11580,16308,Czech Republic,Europe
50,Denmark,0,0,77,6741,10560,11849,12780,15593,21197,35020,64031,127844,187996,0,3,3039,9356,11869,12968,14028,17410,28479,46863,81002,164116,199156,0,0,90,452,574,605,615,624,650,721,837,1298,2126,Denmark,Europe
51,Djibouti,0,0,0,642,1504,4524,4999,5323,5344,5441,5584,5728,5845,0,0,30,1089,3354,4682,5084,5387,5416,5561,5679,5831,5932,0,0,0,2,24,54,58,60,61,61,61,61,63,Djibouti,Africa
52,Dominica,0,0,0,13,16,18,18,18,24,33,63,83,106,0,0,12,16,16,18,18,20,30,50,85,88,117,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominica,North America
53,Dominican Republic,0,0,5,1301,10559,17580,36470,68082,87629,104862,115219,131185,157533,0,0,1109,6972,17285,32568,69649,94715,112209,127018,143988,170785,214060,0,0,51,301,502,747,1160,1710,2105,2245,2331,2414,2666,Dominican Republic,North America
54,Ecuador,0,0,54,1558,19592,27594,36044,101669,112296,141759,169804,184507,209814,0,0,2240,24934,39098,56432,85355,113767,137047,168192,192685,212512,250828,0,0,75,900,3358,4527,5702,6556,11355,12670,13461,14034,14859,Ecuador,South America
55,Egypt,0,1,157,1381,6037,18460,39638,72929,96494,99452,102718,112105,129636,0,1,710,5537,24985,68311,94078,98939,103198,107555,115911,138062,165951,0,0,46,392,959,2953,4805,5421,5930,6266,6650,7631,9316,Egypt,Africa
56,El Salvador,0,0,0,119,1040,3770,8362,14292,23813,29186,35078,45960,48711,0,0,32,395,2517,6438,16632,25729,29077,33445,38405,45960,54966,0,0,1,10,46,174,448,717,843,975,1114,1327,1623,El Salvador,North America
57,Equatorial Guinea,0,0,1,9,200,515,2182,3884,4769,4965,5009,5136,5286,0,0,12,315,1306,2001,4821,4941,5030,5088,5153,5277,5516,0,0,0,1,12,32,83,83,83,83,85,86,86,Equatorial Guinea,Africa
58,Eritrea,0,0,0,26,39,53,225,284,341,412,498,643,1594,0,0,15,39,39,203,279,319,375,463,577,1320,2135,0,0,0,0,0,0,0,0,0,0,0,3,7,Eritrea,Africa
59,Estonia,0,0,26,249,1624,1829,1930,2088,2605,3811,7078,18326,33738,0,1,745,1689,1869,1989,2064,2375,3371,4905,12308,27990,44208,0,0,4,52,68,69,69,64,64,73,118,229,419,Estonia,Europe
60,Eswatini,0,0,0,12,189,408,1214,3529,4912,5646,6006,7073,10478,0,0,9,100,285,812,2648,4577,5482,5917,6419,9358,15711,0,0,0,1,2,11,41,91,109,117,122,205,565,Eswatini,Africa
61,Ethiopia,0,0,2,59,209,2430,6950,18994,31204,52517,73808,112096,122862,0,0,26,131,1172,5846,17530,52131,75368,96169,110074,124264,137650,0,0,0,3,11,103,274,809,1198,1469,1706,1923,2093,Ethiopia,Africa
62,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faroe Islands,Europe
63,Fiji,0,0,0,12,15,18,18,23,28,31,33,44,53,0,0,5,18,18,18,27,28,32,34,42,49,55,0,0,0,0,0,0,1,2,2,2,2,2,2,Fiji,Australia
64,Finland,0,1,10,3000,5500,6600,6950,7200,8100,11300,16800,29000,31000,1,3,1418,4995,6859,7214,7432,8086,9992,16113,24912,36107,45238,0,0,17,211,320,328,329,336,344,358,399,561,671,Finland,Europe
65,France,0,12,9513,50380,68473,76399,81764,86790,98632,123095,167913,200142,230612,5,100,52278,168861,190975,204244,227239,321160,605893,1414364,2276874,2677666,3255920,0,2,3526,24380,28805,29846,30268,30646,31978,36827,52819,64759,76201,France,Europe
66,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,French Guiana,South America
67,Gabon,0,0,0,67,722,2420,4943,7264,8005,8698,9066,9388,10260,0,0,16,276,2655,5394,7352,8533,8766,8968,9214,9571,10748,0,0,1,3,17,42,49,53,54,55,60,64,68,Gabon,Africa
68,Georgia,0,0,21,184,605,794,940,1240,3120,22691,113986,211727,249028,0,1,110,539,783,928,1168,1487,6192,38936,135584,227420,258111,0,0,0,6,12,15,17,19,39,307,1267,2505,3178,Georgia,Asia
69,Germany,0,16,16100,123500,165352,178100,191992,216795,256861,356410,749219,1350708,1940046,5,79,71808,163009,183410,195418,210399,244802,292913,531790,1069912,1760520,2225659,0,0,775,6623,8540,8990,9147,9303,9495,10483,16694,33791,57163,Germany,Europe
70,Ghana,0,0,31,212,2947,13268,32096,42963,45757,47169,50547,53594,61236,0,0,161,2074,8070,17741,35501,44298,46626,48055,51667,54771,67010,0,0,5,17,36,112,182,276,301,320,323,335,416,Ghana,Africa
71,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gibraltar,Europe
72,Greece,0,0,52,1374,1374,1374,1374,1347,1347,23074,23074,93764,93764,0,4,1314,2591,2917,3409,4477,10317,18475,39251,105271,138850,156957,0,0,49,140,175,192,206,266,391,626,2406,4838,5796,Greece,Europe
73,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greenland,North America
74,Grenada,0,0,0,13,18,23,23,24,24,24,30,107,142,0,0,9,20,23,23,24,24,24,28,41,127,148,0,0,0,0,0,0,0,0,0,0,0,0,1,Grenada,North America
75,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guadeloupe,North America
76,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guam,Australia
77,Guatemala,0,0,12,66,735,3194,36816,62068,80256,97289,110944,126028,144595,0,0,38,599,5087,18096,49789,74074,91746,107939,122062,138012,159504,0,0,1,16,108,773,1924,2760,3246,3729,4171,4813,5643,Guatemala,North America
78,Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guernsey,Europe
79,Guinea,0,0,0,329,2030,4326,6458,8447,9996,10550,12045,13141,14208,0,0,22,1495,3706,5391,7308,9409,10652,12072,13119,13722,14546,0,0,0,7,23,33,46,59,66,72,76,81,82,Guinea,Africa
80,Guinea-Bissau,0,0,0,19,42,317,803,1127,1549,1818,2327,2397,2427,0,0,8,205,1256,1654,1981,2205,2324,2413,2441,2452,2634,0,0,0,1,8,24,26,34,39,41,44,45,45,Guinea-Bissau,Africa
81,Guyana,0,0,0,22,70,114,185,718,1680,3228,4392,5820,6591,0,0,12,82,153,245,413,1306,2894,4162,5406,6332,7641,0,0,2,9,12,12,20,39,80,124,151,164,176,Guyana,South America
82,Haiti,0,0,1,8,24,931,4606,5828,6829,7429,8023,8624,9098,0,0,15,76,1584,5847,7378,8209,8740,9054,9272,9999,11533,0,0,0,6,35,104,159,201,227,232,232,236,245,Haiti,North America
83,Honduras,0,0,3,79,537,2060,5554,10396,27922,40129,48073,56694,60873,0,0,141,771,5202,19558,42014,61014,76900,96888,108253,121827,147843,0,0,7,71,212,497,1337,1873,2353,2669,2918,3130,3610,Honduras,North America
84,Hong Kong,0,33,0,0,0,0,0,0,0,0,0,0,0,12,95,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Hong Kong,Asia
85,Hungary,0,0,37,581,2147,2692,3353,3761,5890,19032,63860,150102,262968,0,0,492,2775,3876,4155,4505,6139,26461,75321,217122,322514,367586,0,0,16,312,526,585,596,615,765,1750,4823,9537,12524,Hungary,Europe
86,Iceland,0,0,198,1670,1794,1819,1825,1997,2167,3873,5179,5578,5930,0,1,1135,1797,1806,1842,1885,2107,2728,4865,5392,5754,6002,0,0,2,10,10,10,10,10,10,12,26,29,29,Iceland,Europe
87,India,0,3,123,9068,91852,347979,1094374,2839882,5273201,7491513,8889585,9860280,10434983,1,3,1397,34863,190609,585493,1695988,3691166,6312584,8184082,9462809,10266674,10757610,0,0,35,1154,5408,17400,36511,65288,98678,122111,137621,148738,154392,India,Asia
88,Indonesia,0,0,81,1522,7308,24806,65907,125959,214947,337801,450518,611097,873221,0,0,1528,10118,26473,56385,108376,174796,287008,410088,538883,743198,1078314,0,0,136,792,1613,2876,5131,7417,10740,13869,16945,22138,29998,Indonesia,Asia
89,Iran,0,123,14656,75103,118848,188758,263519,323233,380956,481930,668151,988833,1210051,0,593,44605,94640,151466,227662,304204,375212,457219,612772,962070,1225142,1417999,0,43,2898,6028,7797,10817,16766,21571,26169,34864,48246,55223,57959,Iran,Asia
90,Iraq,0,0,170,1375,3156,24760,87434,176602,292197,399655,482674,537841,592129,0,13,694,2085,6439,49109,124609,234934,362981,472630,552549,595291,619636,0,0,50,93,205,1943,4741,7042,9181,10910,12258,12813,13047,Iraq,Asia
91,Ireland,0,0,5,13386,22089,23364,23364,23364,23364,23364,23364,23364,23364,0,1,3235,20612,24990,25473,26065,28811,36155,61456,72544,91779,196547,0,0,71,1232,1652,1736,1763,1777,1804,1913,2053,2237,3307,Ireland,Europe
92,Israel,0,0,210,8924,14675,16735,47225,94369,177829,299869,323681,376322,572511,0,6,5717,15896,17079,25438,71734,116906,247411,314349,337191,423262,643435,0,0,21,225,287,327,564,953,1604,2561,2872,3325,4796,Israel,Asia
93,Italy,0,46,15729,75945,157507,190248,199974,207653,227704,289426,757507,1463111,2010548,2,1128,105792,205463,232997,240578,247537,269214,314861,679430,1601554,2107166,2553032,0,29,12428,27967,33415,34767,35141,35483,35894,38618,55576,74159,88516,Italy,Europe
94,Ivory Coast,0,0,7,574,1435,4273,11428,16699,19291,20365,20964,21934,26007,0,0,179,1275,2833,9499,16047,18067,19724,20716,21331,22490,28399,0,0,1,14,33,68,102,117,120,126,132,137,154,Ivory Coast,Africa
95,Jamaica,0,0,2,29,311,553,726,890,1867,4510,6219,10383,12043,0,0,36,422,586,702,878,2459,6482,9094,10763,12827,15653,0,0,1,8,9,10,10,21,107,206,257,302,350,Jamaica,North America
96,Japan,1,32,424,2460,14342,16458,24774,56338,75522,89765,127289,191295,325436,15,241,1953,14088,16751,18615,36234,68396,83591,101327,148962,235811,390166,0,5,56,430,898,972,1008,1298,1575,1769,2076,3292,5753,Japan,Asia
97,Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jersey,Europe
98,Jordan,0,0,30,362,522,882,1084,1508,4626,7600,155026,270551,314581,0,0,274,453,739,1132,1193,2034,11825,72607,219430,294494,326855,0,0,5,8,9,9,11,15,61,829,2751,3834,4316,Jordan,Asia
99,Kazakhstan,0,0,24,866,5404,13558,60825,101553,129902,135110,147425,175558,204668,0,0,343,3402,10858,22308,90367,130673,140707,149699,174563,201196,235844,0,0,2,25,40,188,793,1781,2078,2226,2433,2761,3046,Kazakhstan,Asia
100,Kenya,0,0,1,144,478,2039,8165,19893,24908,35876,55344,78737,83907,0,0,59,396,1962,6366,20636,34201,38529,55192,83618,96458,100773,0,0,1,17,64,148,341,577,711,981,1469,1670,1763,Kenya,Africa
101,Kosovo,0,0,6,249,829,1577,4578,9595,13554,15429,25001,40989,52439,0,0,112,799,1064,2878,8330,13454,15620,19328,39596,51144,60218,0,0,1,22,30,51,227,525,625,678,1016,1332,1498,Serbia,Europe
102,Kuwait,0,0,73,1539,11386,37030,57932,77224,96688,116862,137071,146517,157931,0,45,289,4024,27043,46195,66957,85109,105182,125926,142635,150584,165257,0,0,0,26,212,354,447,531,610,779,880,934,959,Kuwait,Asia
103,Kyrgyzstan,0,0,3,462,1170,2443,25037,38459,42879,49983,64711,75918,80987,0,0,107,746,1748,5506,35805,43898,46669,58878,73178,81034,84588,0,0,0,8,16,61,1378,1058,1064,1144,1275,1355,1412,Kyrgyzstan,Asia
104,Laos,0,0,0,8,16,19,19,21,22,22,26,40,41,0,0,9,19,19,19,20,22,23,24,39,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Laos,Asia
105,Latvia,0,0,1,348,745,974,1052,1163,1307,1406,1795,27113,54686,0,0,398,858,1066,1118,1231,1396,1824,5894,17075,40904,66241,0,0,0,15,24,30,32,34,37,71,206,635,1195,Latvia,Europe
106,Lebanon,0,0,37,150,712,1183,1761,4811,17565,41624,83034,127959,180877,0,4,470,725,1220,1778,4555,17308,39634,81228,127944,181503,301052,0,0,12,24,27,34,61,167,367,637,1018,1468,3082,Lebanon,Asia
107,Lesotho,0,0,0,0,1,4,144,528,873,975,1278,1480,2552,0,0,0,0,2,27,604,1085,1595,1953,2109,3094,8664,0,0,0,0,0,0,13,31,36,44,44,51,172,Lesotho,Africa
108,Liberia,0,0,0,45,157,324,670,872,1221,1279,1343,1406,1760,0,0,3,141,288,780,1186,1304,1343,1426,1595,1779,1939,0,0,0,16,27,36,75,82,82,82,83,83,84,Liberia,Africa
109,Libya,0,0,1,18,52,209,618,1459,19361,35030,53818,72107,98706,0,0,10,61,156,824,3621,13966,34525,61095,82809,100277,118631,0,0,0,3,5,24,74,237,551,857,1183,1478,1877,Libya,Africa
110,Liechtenstein,0,0,0,55,55,81,85,97,113,347,1088,1810,2352,0,0,68,82,82,82,88,107,118,533,1270,2136,2493,0,0,0,1,1,1,1,1,1,3,16,39,52,Liechtenstein,Europe
111,Lithuania,0,0,0,577,1279,1525,1655,1964,2845,5485,28028,96800,162392,0,1,468,1375,1667,1812,2069,2900,4688,14815,61311,141955,182543,0,0,4,32,54,61,63,69,77,152,620,1796,2808,Lithuania,Europe
