Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population ages 10-14, female (% of female population) [SP.POP.1014.FE.5Y]","Population ages 10-14, male (% of male population) [SP.POP.1014.MA.5Y]","Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 15-19, male (% of male population) [SP.POP.1519.MA.5Y]","Population ages 15-64, female (% of female population) [SP.POP.1564.FE.ZS]","Population ages 15-64, male (% of male population) [SP.POP.1564.MA.ZS]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 20-24, male (% of male population) [SP.POP.2024.MA.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 35-39, male (% of male population) [SP.POP.3539.MA.5Y]","Population ages 55-59, female (% of female population) [SP.POP.5559.FE.5Y]","Population ages 55-59, male (% of male population) [SP.POP.5559.MA.5Y]","Population ages 65 and above, female (% of female population) [SP.POP.65UP.FE.ZS]","Population ages 65 and above, male (% of male population) [SP.POP.65UP.MA.ZS]","Population ages 0-14, female (% of female population) [SP.POP.0014.FE.ZS]","Population ages 0-14, male (% of male population) [SP.POP.0014.MA.ZS]"
2019,YR2019,United States,USA,2.161176288,65297.51751,6.220968464,6.636407673,6.264132922,6.655677901,64.3218509,66.17957828,6.624465562,7.015787419,6.378705579,6.554700356,6.579048919,6.604769663,17.72616577,14.66124093,17.95198334,19.15918079
2019,YR2019,Latin America ,LCN,0.851596949,8869.894814,7.841693316,8.413278702,8.057674544,8.58310425,67.06646276,67.13326444,8.162227546,8.574026654,7.386779536,7.393181147,4.989813731,4.667799517,9.611846816,7.762204853,23.32169043,25.10453071
2019,YR2019,North America,NAC,2.112061212,63344.07752,6.106052937,6.511479316,6.154261137,6.540227175,64.4637244,66.29688934,6.585089885,6.976296361,6.438067515,6.601181732,6.658744603,6.695161909,17.85014732,14.8342378,17.68612828,18.86887286
2019,YR2019,Europe & Asia,ECS,1.534008513,24744.14029,5.538918065,6.213499049,5.225648941,5.852868792,63.9380789,66.77887442,5.505472583,6.136322408,6.896680352,7.353205626,6.746722488,6.548350508,19.00741384,14.08643221,17.05450726,19.13469337
